current_path	legacy_path	kind	dictionary_class	status	current_bytes	current_lines	current_sha256	legacy_bytes	legacy_lines	legacy_sha256	note
data/wordlists/categories/api_short.txt	source/categories/api_short.txt	wordlist-category	typed-category	FINAL_LF_ONLY	191872	9187	c5b6f33596bb570fcd89a8147b216591c178ec9be476c5243151f3b6f3aaf7c8	191871	9187	a208d83b9e37e6f8ff829f8f6cfff4e276704d31df641ec7b43e5b2ce42a9806	mapped to pinned source
data/wordlists/categories/apk_short.txt	source/categories/apk_short.txt	wordlist-category	typed-category	EXACT	368	20	9261d241aed1f31571a633122e9a403ff827e69cc86c007164a9c8c5f8051b2c	368	20	9261d241aed1f31571a633122e9a403ff827e69cc86c007164a9c8c5f8051b2c	mapped to pinned source
data/wordlists/categories/asax_short.txt	source/categories/asax_short.txt	wordlist-category	typed-category	EXACT	28	2	9739f753ada8a1d025bf00d6b305ecd8ee16450cd8c15abcb9a86507ee38ece0	28	2	9739f753ada8a1d025bf00d6b305ecd8ee16450cd8c15abcb9a86507ee38ece0	mapped to pinned source
data/wordlists/categories/ascx_short.txt	source/categories/ascx_short.txt	wordlist-category	typed-category	EXACT	1149	80	501f5569a01d4c307230b6d6f8a7a7702d50d26fefd369b24ec8474ca8c0c771	1149	80	501f5569a01d4c307230b6d6f8a7a7702d50d26fefd369b24ec8474ca8c0c771	mapped to pinned source
data/wordlists/categories/ashx_short.txt	source/categories/ashx_short.txt	wordlist-category	typed-category	EXACT	685	33	6b267fb9bac04faf4f4f85dc27c762c7aa2e97e015000f00996c84575dd0a7ce	685	33	6b267fb9bac04faf4f4f85dc27c762c7aa2e97e015000f00996c84575dd0a7ce	mapped to pinned source
data/wordlists/categories/asmx_short.txt	source/categories/asmx_short.txt	wordlist-category	typed-category	EXACT	2632	132	b7375de26e210b1dbc91fdf0f7beda9db22ef51f7eea4cb5ce88665068ec9790	2632	132	b7375de26e210b1dbc91fdf0f7beda9db22ef51f7eea4cb5ce88665068ec9790	mapped to pinned source
data/wordlists/categories/asp_short.txt	source/categories/asp_short.txt	wordlist-category	typed-category	EXACT	513067	23260	93f906bbe7a3b52ea971c674d4bc47110edc1f5feea73bc97b7e0f2c2cc1c02f	513067	23260	93f906bbe7a3b52ea971c674d4bc47110edc1f5feea73bc97b7e0f2c2cc1c02f	mapped to pinned source
data/wordlists/categories/axis_short.txt	source/categories/axis_short.txt	wordlist-category	typed-category	EXACT	240	17	3224f93d58637b2f32b0b0407f44f9dae09eda4411030a388b53248693e7e7d2	240	17	3224f93d58637b2f32b0b0407f44f9dae09eda4411030a388b53248693e7e7d2	mapped to pinned source
data/wordlists/categories/backdoors_short.txt	source/categories/backdoors_short.txt	wordlist-category	typed-category	EXACT	2541	189	8a4474c2890b0fca3a9291581a493f1180ff3ba4e38a9b4fcf622472ef650532	2541	189	8a4474c2890b0fca3a9291581a493f1180ff3ba4e38a9b4fcf622472ef650532	mapped to pinned source
data/wordlists/categories/bak_asset_short.txt	source/categories/bak_asset_short.txt	wordlist-category	typed-category	EXACT	258	14	17f1e84a2427de505cb136983eb6b8cc681bd8451b379f1c4f1e9e3e52e92955	258	14	17f1e84a2427de505cb136983eb6b8cc681bd8451b379f1c4f1e9e3e52e92955	mapped to pinned source
data/wordlists/categories/bak_short.txt	source/categories/bak_short.txt	wordlist-category	typed-category	FINAL_LF_ONLY	134927	5255	0c32fe298ef0fb5e7387eb1c79622efc5649f7418c977b49b306e7b6657366a4	134926	5255	ca835c0e2efe075e32f20439a182bd3e82e7d3fb96cf30d3f99eb227dc3e189f	mapped to pinned source
data/wordlists/categories/best110_short.txt	source/categories/best110_short.txt	wordlist-category	typed-category	EXACT	959	110	7823cab3ddd3c976f509c02c70ab227d9e020e08673a924faf877783eef165fe	959	110	7823cab3ddd3c976f509c02c70ab227d9e020e08673a924faf877783eef165fe	mapped to pinned source
data/wordlists/categories/big_short.txt	source/categories/big_short.txt	wordlist-category	typed-category	NORMALIZED_DOCUMENTED	21458	3024	18164836c975128856e33dec6047e4cab80a4d91faedd6880b61a5112887e0b3	21457	3024	25b252f0901ccb41ee1068128e0eed1511852f7889586c64127e3f46103c274e	Repaired one invalid replacement character to the verified UTF-8 spelling secció.
data/wordlists/categories/bot_control_panels_short.txt	source/categories/bot_control_panels_short.txt	wordlist-category	typed-category	FINAL_LF_ONLY	25188	1579	4728945072f863e635a2776048981b83af2b2fcd49da483b7b9e38782aae1e47	25187	1579	f18dbd0ef03d0f3cf20cded26d27c40a7c6c1dc633c2bb8c97a61f240a90b61a	mapped to pinned source
data/wordlists/categories/bsd-files_short.txt	source/categories/bsd-files_short.txt	wordlist-category	typed-category	FINAL_LF_ONLY	344	13	1a1c32bf45f61a5ad0154e9cb14a420abdd36823e3398f92eae056845ec61968	343	13	d9c94a363cb173abd0078ac1a173a49f14fe28726965b1b675f3bc8eb626af25	mapped to pinned source
data/wordlists/categories/burp-parameter-names_short.txt	source/categories/burp-parameter-names_short.txt	wordlist-category	typed-category	EXACT	19302	2588	8e49b1772eeb72cc7af4e7c6ca101bb8ae4551c08999eb66ae7787596db90625	19302	2588	8e49b1772eeb72cc7af4e7c6ca101bb8ae4551c08999eb66ae7787596db90625	mapped to pinned source
data/wordlists/categories/catala_short.txt	source/categories/catala_short.txt	wordlist-category	typed-category	EXACT	1292	161	5fd6f43600a706b84430b02ba3213b0ad6aab5e9125768c0d5ffae685dee613f	1292	161	5fd6f43600a706b84430b02ba3213b0ad6aab5e9125768c0d5ffae685dee613f	mapped to pinned source
data/wordlists/categories/cfm2_short.txt	source/categories/cfm2_short.txt	wordlist-category	typed-category	EXACT	266538	12100	b800e7ff4bb067b7b53b274c477399cbeec88e8a28ccc8de70350c3def6cf7c9	266538	12100	b800e7ff4bb067b7b53b274c477399cbeec88e8a28ccc8de70350c3def6cf7c9	mapped to pinned source
data/wordlists/categories/cfm_short.txt	source/categories/cfm_short.txt	wordlist-category	typed-category	EXACT	360	25	f8e48b52a370fcbaf313f19c2c77779425efdef889f8f302c00de9871e0ecf76	360	25	f8e48b52a370fcbaf313f19c2c77779425efdef889f8f302c00de9871e0ecf76	mapped to pinned source
data/wordlists/categories/cgi_pl_asset_short.txt	source/categories/cgi_pl_asset_short.txt	wordlist-category	typed-category	EXACT	45100	2637	5c99d4d7edc8085ba8c9a8e1a2eab70a8e18d6339e6ec9b9e8e52910771cdb07	45100	2637	5c99d4d7edc8085ba8c9a8e1a2eab70a8e18d6339e6ec9b9e8e52910771cdb07	mapped to pinned source
data/wordlists/categories/cgi_short.txt	source/categories/cgi_short.txt	wordlist-category	typed-category	EXACT	61752	2693	6394a0475e75053bed3c5e25c3cb8e4194969a9663867063a70e4e1cfe5968cf	61752	2693	6394a0475e75053bed3c5e25c3cb8e4194969a9663867063a70e4e1cfe5968cf	mapped to pinned source
data/wordlists/categories/cms_short.txt	source/categories/cms_short.txt	wordlist-category	typed-category	EXACT	6970266	131574	114a280aa8b7f0c8b904f6ac5ed7b19721bbc86e19c4a943f841dc8c8b3a9e36	6970266	131574	114a280aa8b7f0c8b904f6ac5ed7b19721bbc86e19c4a943f841dc8c8b3a9e36	mapped to pinned source
data/wordlists/categories/coldfusion_short.txt	source/categories/coldfusion_short.txt	wordlist-category	typed-category	FINAL_LF_ONLY	4296	132	4c0aa2db21d5fe34693d00c3129b8953c38c7f5941e138e5658e0f3f827eb806	4295	132	37f72db092d2c3a595a69c44214eeeec8566d175f168c99721f5a5d29f9d6cb6	mapped to pinned source
